"GEOID","NAME","resident_jobs","jobs_to_kalamazoo_city","inbound_share_to_kalamazoo","workplace_jobs","jobs_from_kalamazoo_city","outbound_share_from_kalamazoo","bidirectional_jobs","commuter_score","in_kalamazoo_city","data_driven_shed"
"26025003100","31",1067,44,0.0412371134020619,541,2,0.00369685767097967,46,0.0449339710730415,FALSE,"Outside threshold"
"26025001400","14",1674,54,0.032258064516129,3458,43,0.0124349334875651,97,0.0446929980036941,FALSE,"Inbound shed"
"26005031002","310.02",1299,58,0.0446497305619707,153,0,0,58,0.0446497305619707,FALSE,"Inbound shed"
"26025002800","28",1523,56,0.0367695338148391,689,5,0.00725689404934688,61,0.044026427864186,FALSE,"Inbound shed"
"26027001902","19.02",509,22,0.0432220039292731,202,0,0,22,0.0432220039292731,FALSE,"Outside threshold"
"26027002201","22.01",849,24,0.0282685512367491,1125,16,0.0142222222222222,40,0.0424907734589713,FALSE,"Outside threshold"
"26149041200","412",1057,33,0.0312204351939451,760,8,0.0105263157894737,41,0.0417467509834188,FALSE,"Outside threshold"
"26025003600","36",592,23,0.0388513513513514,728,2,0.00274725274725275,25,0.0415986040986041,FALSE,"Outside threshold"
"26159011500","115",1253,39,0.0311252992817239,504,5,0.00992063492063492,44,0.0410459342023588,FALSE,"Outside threshold"
"26025003500","35",714,29,0.0406162464985994,406,0,0,29,0.0406162464985994,FALSE,"Outside threshold"
"26025000200","2",1254,42,0.0334928229665072,306,2,0.0065359477124183,44,0.0400287706789255,FALSE,"Outside threshold"
"26025002300","23",1666,55,0.0330132052821128,579,4,0.00690846286701209,59,0.0399216681491249,FALSE,"Inbound shed"
"26023951302","9513.02",881,15,0.0170261066969353,265,6,0.0226415094339623,21,0.0396676161308976,FALSE,"Outside threshold"
"26027001200","12",614,10,0.0162866449511401,91,2,0.021978021978022,12,0.038264666929162,FALSE,"Outside threshold"
"26015010700","107",1958,65,0.033197139938713,213,1,0.00469483568075117,66,0.0378919756194641,FALSE,"Inbound shed"
